rindex,observation,fault_code (ground truth),rationale,failure_mode (ground truth text)
289,PTO switch is turned on but attached equipment does not engage or move,e85. POWER TAKE-OFF (PTO) DOES NOT OPERATE.,"The observation describes the operator activating the PTO, but not seeing any response from the equipment, which directly aligns with the fault code indicating the PTO is not operating.",power take-off (pto) does not operate.
290,amber warning light does not come on when switch is activated,e16c. AMBER WARNING LIGHT SWITCH DOES NOT ILLUMINATE.,"If the amber warning light does not illuminate when the switch is activated as instructed, it matches the fault code and indicates a possible issue with the switch, the light bulb, or the associated circuitry.",amber warning light switch does not illuminate.
291,battery tester does not power on when attempting to check the battery,e95. BATTERY TESTER DOES NOT OPERATE.,"If the battery tester does not operate or power on, it suggests that the tester itself may be faulty, not receiving power, or has dead batteries. This kind of observation would naturally trigger this fault code during maintenance checks.",battery tester does not operate.
292,steering wheel feels loose and requires excessive movement before wheels respond,p3. EXCESSIVE PLAY WHEN TURNING STEERING WHEEL.,"If the steering wheel has excessive play, this means the operator must move the wheel a significant amount before the truck's wheels begin to turn, which the operator would notice as a loose or unresponsive steering feel.",excessive play when turning steering wheel.
293,FAN OFF dashboard light fails to turn on during vehicle operation or system check,e31. FAN OFF INDICATOR DOES NOT ILLUMINATE.,"The operator would notice that the FAN OFF indicator does not illuminate when expected, such as when performing a dashboard light test or during vehicle operation, indicating a failure in the indicator circuit or related components.",fan off indicator does not illuminate.
294,accelerator pedal is slow to return or remains pressed after foot is removed,b4. ACCELERATOR PEDAL STICKS.,"A sticking accelerator pedal means the pedal does not return freely to the idle position, which could be due to mechanical issues or obstruction in the pedal linkage or exhaust system interference.",accelerator pedal sticks.
295,cab will not lift up when using cab tilt control,v1. CAB DOES NOT RAISE.,"If the cab does not lift when the operator tries to use the cab tilt control, this directly matches the fault code and aligns with possible causes like low hydraulic oil or leaks in the system.",cab does not raise.
296,winch will not extend cable when switch is activated,e84. 11K SELF-RECOVERY WINCH (SRW) DOES NOT PAY OUT.,"If the winch fails to pay out the cable when the operator tries to extend it, this directly relates to the fault code indicating the winch does not pay out. This could be due to a tripped circuit breaker or an electrical issue as described in the troubleshooting steps.",11k self-recovery winch (srw) does not pay out.
297,110V outlet labeled J234 is not providing power to plugged-in equipment,e103. M1079 110 VAC OUTLET J234 DOES NOT OPERATE.,"If an operator notices that plugging a device into outlet J234 results in no power or the device does not operate, it directly suggests a malfunction of outlet J234 in the M1079. This aligns with the fault code and troubleshooting steps focused on the outlet not working.",m1079 110 vac outlet j234 does not operate.
298,air pressure gauge does not reach normal operating range or pressure drops during driving,"j1. AIR SYSTEM LOSES PRESSURE DURING OPERATION/SLOW, NO, OR INCORRECT AIR PRESSURE BUILDUP.","If the air system is losing pressure, or if the pressure builds up slowly or unevenly, the operator would notice that the air pressure gauge does not reach the normal value or falls unexpectedly. This observation indicates a problem with the air system's ability to maintain or build pressure.","air system loses pressure during operation/slow, no, or incorrect air pressure buildup."
299,engine fan keeps running and does not turn off even when engine temperature is normal,e88. ENGINE FAN RUNS CONSTANTLY.,"An operator noticing that the engine fan does not cycle off, even when the engine is not overheating, would be a common way to report this malfunction. This behavior suggests a possible electrical issue or a stuck relay causing the fan to run continuously.",engine fan runs constantly.
